Date ,Decade,Province,City,Incident,Killed ,Injured,Government,President
02/06/2012,2010,Punjab,Lahore,Attack,0,1,Democratic,Asif Zardari
02/08/2012,2010,FATA,"Sadda, Kurram",Attack,0,0,Democratic,Asif Zardari
02/09/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
02/10/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
02/11/2012,2010,Punjab,Attock,Target killing,0,1,Democratic,Asif Zardari
02/12/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
2/13/2012,2010,Sindh,Karachi,Target killing,0,0,Democratic,Asif Zardari
2/13/2012,2010,KPK,Abbottabad,Target killing,2,0,Democratic,Asif Zardari
2/14/2012,2010,Sindh,Shahdad Kot,Attack,0,0,Democratic,Asif Zardari
2/15/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/16/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
2/17/2012,2010,FATA,Parachinar,Attack,46,40,Democratic,Asif Zardari
2/17/2012,2010,Sindh,Karachi,Attack,0,0,Democratic,Asif Zardari
2/21/2012,2010,Sindh,Larkana,Attack,0,0,Democratic,Asif Zardari
2/24/2012,2010,Sindh,Sukkur,Attack,1,6,Democratic,Asif Zardari
2/27/2012,2010,Punjab,Alipur,Target killing,1,0,Democratic,Asif Zardari
2/28/2012,2010,Gilgit-Baltistan,Kohistan,Attack,19,0,Democratic,Asif Zardari
2/29/2012,2010,Sindh,Karachi,Target killing,1,2,Democratic,Asif Zardari
2/29/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
03/01/2012,2010,Sindh,Khairpur,Target killing,0,3,Democratic,Asif Zardari
03/01/2012,2010,Sindh,Ghotki,Target killing,0,1,Democratic,Asif Zardari
03/03/2012,2010,Punjab,Chicha Watni,Target killing,0,0,Democratic,Asif Zardari
03/04/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
03/04/2012,2010,Sindh,Ghotki,Target killing,0,0,Democratic,Asif Zardari
03/06/2012,2010,Punjab,Alipur,Target killing,0,0,Democratic,Asif Zardari
03/07/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
03/10/2012,2010,KPK,D.I. Khan,Target killing,0,1,Democratic,Asif Zardari
03/11/2012,2010,KPK,Peshawar,Target killing,1,0,Democratic,Asif Zardari
03/12/2012,2010,Sindh,Sukkur,Target killing,1,0,Democratic,Asif Zardari
03/12/2012,2010,FATA,Kurram agency,Attack,2,15,Democratic,Asif Zardari
3/13/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
3/13/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/15/2012,2010,Sindh,Karachi,Target killing,1,1,Democratic,Asif Zardari
3/16/2012,2010,FATA,Kurram agency,Target killing,0,16,Democratic,Asif Zardari
3/17/2012,2010,Punjab,D.G. Khan,Target killing,1,1,Democratic,Asif Zardari
3/18/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
3/18/2012,2010,KPK,Hangu,Target killing,1,1,Democratic,Asif Zardari
3/21/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
3/23/2012,2010,FATA,Waziristan,Target killing,3,2,Democratic,Asif Zardari
3/24/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
3/24/2012,2010,Sindh,Jacobabad,Attack,0,3,Democratic,Asif Zardari
3/25/2012,2010,Sindh,Karachi,Target killing,2,0,Democratic,Asif Zardari
3/26/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/26/2012,2010,Balochistan,Quetta,Target killing,1,1,Democratic,Asif Zardari
3/26/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
3/28/2012,2010,Balochistan,Bolan,Target killing,0,1,Democratic,Asif Zardari
3/28/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
3/29/2012,2010,Balochistan,Quetta,Attack,9,0,Democratic,Asif Zardari
04/01/2012,2010,Gilgit-Baltistan,Gilgit,Target killing,1,0,Democratic,Asif Zardari
04/01/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
04/03/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/03/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/03/2012,2010,Gilgit-Baltistan,Chilas,Attack,40,0,Democratic,Asif Zardari
04/03/2012,2010,Balochistan,Quetta,Attack,1,0,Democratic,Asif Zardari
04/03/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
04/03/2012,2010,Sindh,Karachi,Target killing,0,0,Democratic,Asif Zardari
04/04/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/05/2012,2010,Sindh,Karachi,Target killing,3,0,Democratic,Asif Zardari
04/06/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
04/09/2012,2010,Balochistan,Quetta,Attack,6,0,Democratic,Asif Zardari
04/11/2012,2010,KPK,D.I. Khan,Target killing,1,0,Democratic,Asif Zardari
04/12/2012,2010,Balochistan,Quetta,Attack,3,1,Democratic,Asif Zardari
4/13/2012,2010,Balochistan,Quetta,Target killing,1,1,Democratic,Asif Zardari
4/14/2012,2010,Balochistan,Quetta,Attack,8,0,Democratic,Asif Zardari
4/16/2012,2010,Balochistan,Quetta,Target killing,1,0,Democratic,Asif Zardari
4/17/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
4/19/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
4/21/2012,2010,Balochistan,Quetta,Target killing,2,0,Democratic,Asif Zardari
4/25/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
4/27/2012,2010,Sindh,Khairpur,Target killing,0,7,Democratic,Asif Zardari
4/29/2012,2010,Sindh,Karachi,Target killing,0,1,Democratic,Asif Zardari
4/29/2012,2010,Sindh,Karachi,Target killing,1,0,Democratic,Asif Zardari
